iter	Passed	Remaining
552	1688	1365
553	1691	1361
554	1694	1358
555	1696	1354
556	1699	1351
557	1702	1348
558	1704	1344
559	1707	1341
560	1710	1338
561	1712	1334
562	1715	1331
563	1717	1327
564	1720	1324
565	1722	1320
566	1724	1317
567	1727	1313
568	1729	1310
569	1732	1307
570	1735	1303
571	1737	1300
572	1739	1296
573	1743	1293
574	1745	1290
575	1748	1286
576	1750	1283
577	1752	1279
578	1755	1276
579	1758	1273
580	1762	1270
581	1765	1267
582	1767	1263
583	1769	1260
584	1771	1256
585	1774	1253
586	1778	1251
587	1781	1248
588	1786	1246
589	1789	1243
590	1792	1240
591	1796	1237
592	1799	1234
593	1801	1231
594	1804	1228
595	1806	1224
596	1810	1222
597	1812	1218
598	1815	1215
599	1818	1212
600	1820	1208
601	1823	1205
602	1826	1202
603	1828	1198
604	1831	1195
605	1832	1191
606	1835	1188
607	1837	1184
608	1839	1181
609	1842	1177
610	1844	1174
611	1847	1171
612	1849	1167
613	1852	1164
614	1855	1161
615	1858	1158
616	1861	1155
617	1865	1152
618	1867	1149
619	1870	1146
620	1873	1143
621	1876	1140
622	1879	1137
623	1882	1134
624	1885	1131
625	1887	1127
626	1891	1125
627	1893	1121
628	1896	1118
629	1898	1115
630	1901	1112
631	1904	1108
632	1906	1105
633	1908	1102
634	1911	1098
635	1913	1095
636	1916	1092
637	1919	1089
638	1923	1086
639	1925	1082
640	1927	1079
641	1929	1075
642	1933	1073
643	1935	1070
644	1941	1068
645	1944	1065
646	1946	1061
647	1949	1058
648	1951	1055
649	1953	1051
650	1955	1048
651	1957	1045
652	1960	1041
653	1962	1038
654	1964	1034
655	1967	1031
656	1969	1028
657	1972	1024
658	1973	1021
659	1976	1018
660	1978	1014
661	1981	1011
662	1984	1008
663	1987	1005
664	1990	1002
665	1992	999
666	1995	996
667	1997	992
668	2000	989
669	2003	986
670	2006	983
671	2009	980
672	2011	977
673	2014	974
674	2016	970
675	2019	968
676	2023	965
677	2026	962
678	2028	959
679	2030	955
680	2033	952
681	2036	949
682	2039	946
683	2041	943
684	2044	940
685	2048	937
686	2050	934
687	2052	930
688	2055	927
689	2057	924
690	2060	921
691	2063	918
692	2067	915
693	2069	912
694	2072	909
695	2075	906
696	2078	903
697	2081	900
698	2084	897
699	2086	894
700	2089	891
701	2092	888
702	2095	885
703	2098	882
704	2101	879
705	2102	875
706	2105	872
707	2108	869
708	2110	866
709	2112	862
710	2114	859
711	2117	856
712	2120	853
713	2123	850
714	2126	847
715	2129	844
716	2130	841
717	2134	838
718	2137	835
719	2140	832
720	2142	829
721	2149	827
722	2153	824
723	2155	821
724	2157	818
725	2160	815
726	2162	812
727	2165	808
728	2167	805
729	2169	802
730	2172	799
731	2174	796
732	2178	793
733	2182	790
734	2184	787
735	2186	784
736	2188	781
737	2190	777
738	2192	774
739	2195	771
740	2197	767
741	2200	764
742	2203	762
743	2205	759
744	2208	755
745	2211	753
746	2214	749
747	2216	746
748	2219	743
749	2222	740
750	2225	737
751	2227	734
752	2231	731
753	2234	728
754	2238	726
755	2241	723
756	2246	721
757	2250	718
758	2252	715
759	2256	712
760	2260	709
761	2263	706
762	2265	703
763	2267	700
764	2270	697
765	2273	694
766	2276	691
767	2280	688
768	2283	685
769	2285	682
770	2288	679
771	2291	676
772	2293	673
773	2296	670
774	2298	667
775	2301	664
776	2304	661
777	2307	658
778	2310	655
779	2313	652
780	2316	649
781	2320	646
782	2323	643
783	2326	640
784	2330	638
785	2334	635
786	2337	632
787	2340	629
788	2342	626
789	2344	623
790	2347	620
791	2350	617
792	2352	613
793	2353	610
794	2356	607
795	2358	604
796	2361	601
797	2363	598
798	2366	595
799	2369	592
800	2372	589
801	2376	586
802	2379	583
803	2382	580
804	2384	577
805	2386	574
806	2390	571
807	2392	568
808	2395	565
809	2396	562
810	2399	559
811	2401	556
812	2405	553
813	2407	550
814	2409	547
815	2412	544
816	2415	540
817	2417	537
818	2421	535
819	2426	532
820	2430	529
821	2432	526
822	2435	523
823	2437	520
824	2440	517
825	2443	514
826	2445	511
827	2447	508
828	2450	505
829	2451	502
830	2454	499
831	2456	495
832	2458	492
833	2461	489
834	2464	486
835	2466	483
836	2469	480
837	2473	478
838	2475	475
839	2477	471
840	2480	468
841	2482	465
842	2485	462
843	2488	460
844	2491	456
845	2493	453
846	2496	450
847	2499	447
848	2502	445
849	2505	442
850	2508	439
851	2511	436
852	2514	433
853	2518	430
854	2523	427
855	2526	425
856	2528	421
857	2531	418
858	2533	415
859	2537	413
860	2540	410
861	2542	407
862	2544	403
863	2547	400
864	2549	397
865	2552	394
866	2554	391
867	2556	388
868	2559	385
869	2561	382
870	2563	379
871	2565	376
872	2568	373
873	2571	370
874	2574	367
875	2576	364
876	2578	361
877	2582	358
878	2586	356
879	2589	353
880	2591	350
881	2593	347
882	2596	344
883	2598	341
884	2601	337
885	2603	335
886	2606	332
887	2608	329
888	2612	326
889	2615	323
890	2618	320
891	2620	317
892	2623	314
893	2625	311
894	2629	308
895	2631	305
896	2634	302
897	2637	299
898	2639	296
899	2641	293
900	2643	290
901	2646	287
902	2649	284
903	2651	281
904	2653	278
905	2657	275
906	2660	272
907	2665	270
908	2668	267
909	2670	264
910	2673	261
911	2676	258
912	2678	255
913	2681	252
914	2683	249
915	2686	246
916	2688	243
917	2691	240
918	2693	237
919	2696	234
920	2699	231
921	2702	228
922	2704	225
923	2708	222
924	2711	219
925	2714	216
926	2717	213
927	2719	211
928	2722	208
929	2726	205
930	2730	202
931	2734	199
932	2738	196
933	2741	193
934	2745	190
935	2749	188
936	2753	185
937	2755	182
938	2759	179
939	2761	176
940	2765	173
941	2769	170
942	2771	167
943	2774	164
944	2777	161
945	2780	158
946	2782	155
947	2784	152
948	2787	149
949	2790	146
950	2793	143
951	2795	140
952	2798	138
953	2801	135
954	2803	132
955	2805	129
956	2807	126
957	2810	123
958	2814	120
959	2816	117
960	2818	114
961	2821	111
962	2823	108
963	2826	105
964	2829	102
965	2832	99
966	2834	96
967	2837	93
968	2839	90
969	2841	87
970	2843	84
971	2845	81
972	2848	79
973	2851	76
974	2853	73
975	2856	70
976	2859	67
977	2861	64
978	2865	61
979	2867	58
980	2869	55
981	2872	52
982	2876	49
983	2882	46
984	2886	43
985	2888	41
986	2891	38
987	2894	35
988	2896	32
989	2899	29
990	2901	26
991	2904	23
992	2907	20
993	2910	17
994	2913	14
995	2915	11
996	2918	8
997	2920	5
998	2922	2
999	2925	0
