iter	MAPE	RMSE
0	0.4607438232	11036.73397
1	0.4365184005	10502.10546
2	0.4140685085	10009.2058
3	0.3934588398	9550.550349
4	0.3751327141	9138.857116
5	0.3569625244	8747.544316
6	0.3407546259	8397.416773
7	0.3259837925	8076.738337
8	0.312058283	7781.054859
9	0.2975071458	7468.795242
10	0.2841363538	7190.04427
11	0.2724889094	6921.44447
12	0.2605438614	6667.504947
13	0.2494879711	6436.799238
14	0.2393090796	6227.440232
15	0.230358907	6039.808255
16	0.2221507916	5858.61631
17	0.2147901234	5689.546145
18	0.20725497	5539.826935
19	0.2017491266	5405.440715
20	0.19584976	5281.468246
21	0.1897902044	5164.790506
22	0.1845313905	5057.27804
23	0.1790748886	4954.780067
24	0.1741686577	4851.635301
25	0.169289581	4744.959082
26	0.1652998027	4666.327678
27	0.1621815328	4599.807613
28	0.1582626998	4527.813436
29	0.1543425964	4462.423013
30	0.1509548008	4405.335609
31	0.1480417034	4349.098906
32	0.1449469937	4295.458128
33	0.142424326	4250.510541
34	0.1394004585	4188.487566
35	0.1369108402	4142.599254
36	0.1354199103	4111.444077
37	0.1333951069	4069.448289
38	0.131512917	4013.079043
39	0.1294796343	3971.825385
40	0.1274874345	3932.591576
41	0.1257868078	3902.702817
42	0.124156595	3873.349958
43	0.1229020386	3832.923383
44	0.1216871611	3803.00058
45	0.1198663422	3766.58708
46	0.1186849168	3732.3278
47	0.1177160845	3700.768553
48	0.1164678032	3675.690573
49	0.1152854127	3654.010691
50	0.1138613059	3627.609928
51	0.112471466	3607.475597
52	0.1117101409	3581.923305
53	0.1105418909	3565.348941
54	0.1096035092	3545.219818
55	0.1083290856	3518.622517
56	0.107476629	3499.251399
57	0.1066909063	3481.937852
58	0.1057535702	3466.11965
59	0.1049989724	3459.254461
60	0.1040840793	3437.882987
61	0.1034388855	3426.163221
62	0.1031370818	3414.779496
63	0.102404164	3401.106867
64	0.1021825238	3391.032525
65	0.1015711474	3384.957748
66	0.1011610419	3371.988778
67	0.1006678247	3363.618747
68	0.1000670821	3352.266338
69	0.09972238897	3334.009538
70	0.09927698633	3324.363236
71	0.09891500586	3314.744126
72	0.09859671462	3305.674117
73	0.09828045112	3294.50021
74	0.09777202394	3285.536016
75	0.09750874421	3281.731968
76	0.09703861221	3270.83619
77	0.09661978244	3263.118482
78	0.0961192213	3254.432985
79	0.09600987838	3250.699388
80	0.0954739897	3239.521352
81	0.09520497361	3236.46505
82	0.09501180613	3228.114764
83	0.094656514	3221.544295
84	0.09423027239	3212.693878
85	0.09403057581	3210.906281
86	0.09402130149	3210.605419
87	0.09370820006	3201.723825
88	0.09348150249	3192.387884
89	0.09323158112	3183.48987
90	0.0930069506	3177.965989
91	0.0927182859	3172.890167
92	0.09253185466	3168.45834
93	0.09235426228	3163.702829
94	0.09189859118	3154.178085
95	0.09158908606	3142.391139
96	0.09132099628	3138.385731
97	0.09103864113	3133.522985
98	0.09072560612	3124.698439
99	0.09064186344	3120.344391
100	0.09043020358	3109.459802
101	0.09017893287	3102.106659
102	0.08986367385	3093.079004
103	0.08969311023	3088.931875
104	0.08959184564	3085.514439
